student_id,name,programme,year,gpa_sem1,gpa_sem2,gpa_sem3,attendance,lms_logins,facility_access,library_visits,after_hours_wifi,assignment_submissions,risk_label
N22670913L,Gerald Sibanda,BSc Information Technology,1,3.28,3.36,3.76,89.96,12.34,9.0,4.97,0.97,5.25,low
N23196126L,Tariro Chimuti,BSc Informatics,5,2.66,2.09,2.16,65.19,4.67,6.52,2.01,3.85,2.96,medium
N24315173L,Tendai Mushayasa,BSc Software Engineering,2,3.44,3.74,3.39,89.77,11.9,8.98,4.93,1.04,4.9,low
N21926952L,David Ndlovu,BSc Data Science,4,2.45,2.7,2.68,64.98,4.85,6.5,2.1,4.13,2.81,medium
N22937302L,Tatenda Dube,BSc Informatics,1,3.65,3.99,3.34,89.96,11.84,9.0,5.17,1.01,4.81,low
N24439498L,Thandeka Mhlanga,BSc Data Science,2,1.96,2.21,2.21,30.51,1.99,3.05,0.0,7.8,0.91,high
N20599380L,Memory Nyathi,BSc Computer Science,3,2.9,3.57,3.94,89.82,12.07,8.98,4.98,0.99,5.3,low
N24416282L,Memory Ndlovu,BSc Informatics,1,2.73,2.02,2.51,65.08,5.06,6.51,1.9,3.93,2.94,medium
N20614084L,Tanaka Moyo,BSc Computer Science,4,2.97,3.45,3.97,89.95,11.93,9.0,4.98,1.04,5.05,low
N24763829L,Prince Mushayasa,BSc Computer Engineering,1,3.17,3.63,3.42,90.11,11.92,9.01,4.97,1.02,4.73,low
N24734836L,Learnmore Dube,BSc Computer Science,3,3.08,2.9,4.0,90.29,11.88,9.03,4.91,0.98,4.74,low
N21550961L,Memory Mpofu,BSc Information Technology,3,3.54,3.25,3.27,89.91,11.91,8.99,5.14,1.0,5.17,low
N20427730L,Learnmore Matsvimbo,BSc Data Science,2,3.47,3.91,3.33,89.85,11.91,8.98,4.97,0.98,5.17,low
N20195656L,Tendai Moyo,BSc Information Technology,1,2.25,1.79,2.09,29.53,1.9,2.95,0.0,8.0,0.96,high
N24162894L,Precious Mushayasa,BSc Computer Engineering,3,3.05,3.47,3.04,90.31,11.99,9.03,5.07,0.94,4.67,low
N23856086L,Nomvula Mushonga,BSc Data Science,2,1.77,1.38,1.51,29.28,1.91,2.93,0.0,7.95,1.15,high
N23335137L,Farai Nyathi,BSc Computer Engineering,3,3.27,3.69,3.39,90.5,11.28,9.05,5.0,1.0,4.89,low
N23986209L,Bright Chimuti,BSc Informatics,1,4.0,2.69,3.35,89.66,11.38,8.97,4.97,1.02,5.02,low
N20289179L,Rudo Mushonga,BSc Computer Engineering,3,2.25,1.85,2.14,29.47,2.24,2.95,0.0,7.75,1.02,high
N23172965L,Munyaradzi Ndlovu,BSc Computer Science,1,3.56,3.33,4.0,89.57,12.5,8.96,5.0,1.06,5.29,low
N22265055L,Gerald Mushonga,BSc Computer Engineering,1,3.24,3.66,4.0,89.73,11.99,8.97,5.01,1.03,4.64,low
N20263137L,Tatenda Chimuti,BSc Informatics,3,3.14,3.54,3.82,89.73,11.83,8.97,4.94,0.94,4.74,low
N23736565L,Memory Sithole,BSc Data Science,1,3.13,2.58,2.07,64.74,4.66,6.47,1.96,3.79,2.68,medium
N20397005L,Prince Gwekwerere,BSc Data Science,2,3.71,3.24,3.4,89.82,11.83,8.98,4.86,0.95,5.08,low
N20314353L,Nothando Chikwanda,BSc Information Systems,2,3.63,3.17,3.82,90.48,11.72,9.05,4.81,1.02,5.4,low
N23883301L,Learnmore Mhlanga,BSc Information Systems,1,3.23,3.51,3.69,89.98,11.97,9.0,4.74,1.01,4.88,low
N22175576L,Patricia Sibanda,BSc Information Technology,3,3.88,3.23,3.79,89.6,12.27,8.96,5.1,0.96,5.21,low
N24550137L,Precious Dlodlo,BSc Information Technology,4,3.86,3.25,3.07,89.98,12.86,9.0,5.04,1.05,5.02,low
N21940247L,Miriam Matsiga,BSc Computer Engineering,2,3.24,3.76,2.83,90.09,11.99,9.01,5.0,1.0,4.93,low
N24519902L,Tariro Moyo,BSc Information Technology,4,2.86,2.81,3.61,89.97,12.12,9.0,5.05,1.01,4.75,low
N21180089L,Tariro Dube,BSc Software Engineering,3,3.96,3.58,3.47,89.89,12.54,8.99,4.97,1.03,4.77,low
N21347745L,Shannon Ncube,BSc Data Science,2,3.63,3.51,3.44,89.75,12.56,8.97,4.87,1.01,5.33,low
N20285751L,Winny Matsiga,BSc Business Computing,3,3.68,2.77,3.39,90.07,11.9,9.01,5.02,0.97,4.96,low
N24438908L,Sharon Ncube,BSc Business Computing,4,3.54,3.85,2.87,89.88,12.18,8.99,5.08,0.91,4.79,low
N22720148L,Kudakwashe Nyathi,BSc Computer Science,2,3.3,3.95,3.45,90.03,11.86,9.0,5.1,0.99,5.02,low
N22180458L,Takudzwa Chimuti,BSc Information Technology,2,3.08,3.9,3.78,89.8,11.95,8.98,4.77,1.0,5.29,low
N20571579L,Precious Chikwanda,BSc Computer Engineering,3,3.35,4.0,4.0,89.92,12.06,8.99,5.03,1.02,5.05,low
N23208529L,Sharon Moyo,BSc Information Systems,2,1.82,2.78,2.69,64.74,4.91,6.47,1.94,4.06,3.25,medium
N24648141L,Miriam Mhlanga,BSc Computer Engineering,3,3.19,3.64,3.67,89.95,12.54,8.99,4.99,1.03,4.93,low
N22811875L,David Sibanda,BSc Computer Engineering,1,2.25,2.92,2.48,65.83,4.84,6.58,2.04,3.9,3.09,medium
N22364236L,Miriam Ncube,BSc Computer Engineering,1,3.14,3.37,2.99,89.83,11.47,8.98,4.97,0.94,5.29,low
N22787923L,Patricia Ncube,BSc Computer Science,3,2.89,2.05,2.2,64.41,5.27,6.44,1.98,3.96,2.99,medium
N21802667L,Tatenda Moyo,BSc Information Technology,2,1.51,1.45,1.47,30.07,2.06,3.01,0.0,7.99,0.89,high
N21458332L,Munashe Chikwanda,BSc Software Engineering,1,3.64,3.18,3.22,89.93,11.77,8.99,5.03,1.02,4.98,low
N20632351L,Bright Mutizwa,BSc Informatics,1,2.95,3.5,3.38,90.02,12.79,9.0,5.07,0.99,4.96,low
N24495019L,Rutendo Mhlanga,BSc Information Systems,4,3.96,3.49,3.56,90.49,12.28,9.05,5.02,0.93,5.16,low
N21856215L,Memory Sibanda,BSc Information Technology,3,3.91,3.08,3.48,90.1,12.48,9.01,4.93,1.09,5.16,low
N24398768L,Memory Mpofu,BSc Software Engineering,3,3.74,2.76,2.8,90.18,11.85,9.02,4.91,1.04,5.24,low
N21485709L,Prince Matsiga,BSc Business Computing,4,3.31,3.73,3.99,90.21,11.99,9.02,5.02,0.94,4.66,low
N23269930L,Tariro Chimuti,BSc Information Systems,3,1.71,2.12,1.24,29.23,2.04,2.92,0.0,8.1,0.92,high
N22681478L,Farai Mutizwa,BSc Computer Science,1,3.25,3.22,3.77,90.22,12.01,9.02,4.99,1.05,5.02,low
N24254506L,Learnmore Moyo,BSc Software Engineering,3,1.6,2.14,1.07,30.66,2.0,3.07,0.0,7.98,0.97,high
N23155843L,Patricia Mutizwa,BSc Computer Engineering,4,1.89,1.61,2.01,31.16,2.02,3.12,0.0,8.26,1.03,high
N20434165L,Farai Matsvimbo,BSc Information Systems,5,2.78,2.71,2.92,65.0,5.09,6.5,2.05,4.07,3.07,medium
N21895702L,Winny Matsiga,BSc Informatics,1,3.66,3.87,3.04,89.98,11.69,9.0,4.84,0.98,4.97,low
N21675462L,David Mutizwa,BSc Information Technology,1,3.07,3.28,3.17,90.05,11.79,9.01,5.1,1.02,4.95,low
N20350021L,Learnmore Chimuti,BSc Business Computing,1,2.53,1.52,1.83,29.98,1.89,3.0,0.0,7.92,1.07,high
N24117233L,Tariro Makaza,BSc Software Engineering,4,4.0,3.88,3.8,89.74,12.04,8.97,5.12,0.97,5.4,low
N22352249L,Prince Sithole,BSc Information Systems,1,3.45,2.91,3.34,89.71,12.26,8.97,5.0,1.03,4.94,low
N20651613L,Grace Mutizwa,BSc Informatics,1,2.6,2.82,2.18,64.73,5.11,6.47,1.97,3.88,2.9,medium
N22365971L,Thandeka Nyathi,BSc Computer Science,2,2.69,2.63,2.28,64.52,5.17,6.45,2.02,4.01,3.05,medium
N24870899L,Sharon Ncube,BSc Informatics,3,3.74,3.72,3.74,90.26,12.94,9.03,4.96,0.99,5.23,low
N23829168L,Winny Mhlanga,BSc Information Systems,2,3.8,4.0,3.56,89.68,11.62,8.97,5.05,0.99,5.16,low
N22311383L,Kudakwashe Chikwanda,BSc Informatics,3,3.63,3.87,3.43,90.02,11.99,9.0,5.17,1.06,4.82,low
N24596395L,Admire Sibanda,BSc Software Engineering,2,3.1,3.73,3.73,89.88,11.93,8.99,5.04,1.03,4.21,low
N22386488L,Farai Nyathi,BSc Information Technology,4,2.83,2.74,2.45,65.53,4.94,6.55,2.02,3.89,2.98,medium
N23455505L,Michelle Gwekwerere,BSc Business Computing,3,2.92,4.0,3.07,90.12,11.9,9.01,4.97,0.96,4.84,low
N20862400L,Learnmore Moyo,BSc Information Technology,3,2.95,3.46,3.3,89.89,11.31,8.99,4.91,0.96,4.78,low
N22207581L,Tendai Matsvimbo,BSc Data Science,4,3.16,2.76,2.88,90.07,11.89,9.01,4.81,1.03,4.97,low
N23468623L,Tanaka Sibanda,BSc Computer Engineering,3,2.61,2.91,2.51,65.28,5.08,6.53,2.1,4.08,3.04,medium
N20178686L,Patricia Nyathi,BSc Information Systems,2,2.8,3.76,3.92,89.6,11.98,8.96,5.01,0.94,4.57,low
N23136489L,Rutendo Moyo,BSc Software Engineering,1,3.68,4.0,3.99,89.68,11.92,8.97,5.03,1.03,5.41,low
N24133958L,David Ncube,BSc Business Computing,2,3.41,3.29,3.39,89.68,12.18,8.97,5.09,0.93,4.83,low
N24244383L,Tatenda Nyathi,BSc Information Technology,2,4.0,3.18,3.02,89.83,12.0,8.98,4.88,0.95,5.27,low
N20871411L,Michelle Gwekwerere,BSc Information Technology,1,2.98,3.92,2.88,90.12,12.25,9.01,4.96,1.06,5.21,low
N23324993L,Miriam Mushonga,BSc Business Computing,1,3.76,3.32,3.66,89.46,12.71,8.95,4.83,1.07,4.98,low
N21848022L,Tanaka Moyo,BSc Computer Engineering,1,3.64,3.48,3.62,90.11,12.1,9.01,4.95,0.93,4.86,low
N22414527L,Michelle Mhlanga,BSc Computer Engineering,3,3.81,4.0,3.6,90.35,12.28,9.03,4.96,0.99,4.83,low
N21348235L,Munashe Ndlovu,BSc Computer Engineering,1,3.04,2.66,2.05,65.14,5.3,6.51,1.98,4.01,3.27,medium
N24236074L,Miriam Moyo,BSc Computer Science,2,2.33,2.77,2.69,64.44,4.92,6.44,2.09,3.94,2.8,medium
N24530749L,Chenai Makaza,BSc Computer Science,5,3.93,2.9,2.84,89.81,12.35,8.98,4.95,1.11,5.31,low
N23813145L,Tariro Nyathi,BSc Information Systems,2,3.3,3.45,3.83,90.13,12.19,9.01,5.08,1.0,4.88,low
N21905077L,Rutendo Sithole,BSc Informatics,3,3.2,3.03,3.67,90.08,11.67,9.01,4.86,1.0,5.11,low
N21438334L,Newton Nyathi,BSc Data Science,2,3.5,3.2,4.0,89.99,11.71,9.0,5.0,1.03,4.7,low
N24387782L,Rutendo Mushonga,BSc Computer Science,1,2.72,3.69,3.84,90.77,11.8,9.08,4.95,1.09,5.16,low
N21279516L,Miriam Chimuti,BSc Computer Engineering,1,2.98,3.01,3.3,90.02,11.71,9.0,4.97,1.0,5.09,low
N20185168L,Nomvula Makaza,BSc Data Science,3,2.49,2.67,2.42,65.23,5.09,6.52,2.0,3.94,2.92,medium
N20622230L,Bright Mushonga,BSc Data Science,3,4.0,3.89,3.92,90.17,12.11,9.02,4.86,1.02,5.22,low
N22575575L,Tendai Sibanda,BSc Information Systems,4,2.96,4.0,3.55,90.05,12.19,9.01,4.99,0.96,4.93,low
N24250647L,Tafadzwa Matsvimbo,BSc Computer Engineering,2,2.28,2.12,1.22,29.99,1.85,3.0,0.0,8.11,1.14,high
N24211341L,Tafadzwa Mpofu,BSc Business Computing,1,3.47,3.81,3.55,89.95,11.98,8.99,5.03,1.06,5.31,low
N20404309L,Simbarashe Chimuti,BSc Information Technology,2,3.92,3.88,3.78,90.05,11.82,9.0,4.9,0.99,5.17,low
N22705748L,Tafadzwa Chikwanda,BSc Information Systems,4,3.49,3.67,3.81,89.81,11.21,8.98,5.03,1.06,5.1,low
N22621530L,Tashinga Moyo,BSc Information Technology,2,3.52,3.14,2.97,90.09,12.18,9.01,5.07,0.98,5.17,low
N22151021L,Kudakwashe Mushonga,BSc Business Computing,5,2.97,3.28,2.82,89.66,12.12,8.97,4.97,1.03,4.65,low
N22662761L,Thandeka Dube,BSc Information Technology,4,3.73,3.61,3.76,90.14,11.96,9.01,4.94,1.02,4.93,low
N23483713L,Kudakwashe Dlodlo,BSc Informatics,1,3.15,3.22,3.57,89.77,12.0,8.98,5.07,1.0,4.79,low
N20505116L,Tatenda Matsiga,BSc Data Science,1,3.3,2.83,3.79,90.01,11.93,9.0,5.12,1.0,5.46,low
N21201377L,Patricia Nyathi,BSc Computer Engineering,3,3.53,2.97,3.48,90.18,12.56,9.02,4.88,0.96,4.29,low
N24633853L,Simbarashe Mutizwa,BSc Informatics,2,2.55,2.77,2.49,64.7,5.18,6.47,2.02,4.14,3.0,medium
N23644559L,Tanaka Ncube,BSc Information Systems,1,2.24,1.45,1.32,29.8,1.99,2.98,0.0,7.88,1.0,high
N24875232L,Clever Makaza,BSc Computer Engineering,3,3.6,3.65,3.93,90.26,12.02,9.03,4.88,0.93,5.06,low
N24414353L,Munashe Ndlovu,BSc Computer Engineering,2,3.85,3.62,3.09,89.99,12.14,9.0,4.99,1.0,5.02,low
N22935457L,Tashinga Chimuti,BSc Business Computing,1,2.75,2.9,3.87,90.2,11.94,9.02,4.95,0.91,5.26,low
N24705693L,Fungai Sibanda,BSc Business Computing,3,2.06,2.83,2.28,64.51,4.98,6.45,2.03,3.91,2.9,medium
N23254954L,Fungai Sibanda,BSc Computer Science,3,1.72,2.52,1.6,29.98,2.05,3.0,0.0,7.84,1.08,high
N23824042L,Blessing Sithole,BSc Business Computing,2,3.75,2.93,2.92,89.9,12.03,8.99,4.96,1.06,5.25,low
N21643878L,Blessing Mushayasa,BSc Computer Engineering,3,1.63,2.22,1.96,29.67,2.15,2.97,0.0,8.06,1.09,high
N21581992L,Bright Matsvimbo,BSc Computer Engineering,2,2.97,3.01,3.22,89.8,12.8,8.98,4.8,0.99,5.01,low
N22739711L,Winny Chikwanda,BSc Software Engineering,4,3.99,3.34,3.77,90.26,11.79,9.03,5.21,0.97,4.77,low
N22908634L,Nothando Chikwanda,BSc Business Computing,1,1.99,2.67,2.06,65.12,4.83,6.51,1.95,3.93,3.14,medium
N22401769L,Shannon Makaza,BSc Information Technology,2,3.09,3.97,2.72,90.17,11.75,9.02,5.04,0.96,5.01,low
N21404561L,Kudakwashe Mushonga,BSc Computer Science,2,2.88,2.97,3.75,90.24,11.73,9.02,5.18,0.97,4.74,low
N23324381L,Blessing Mushayasa,BSc Data Science,2,3.22,2.94,3.84,90.32,12.09,9.03,4.94,0.98,4.96,low
N24876880L,Prince Mpofu,BSc Software Engineering,3,2.36,2.69,1.9,65.25,5.07,6.52,1.93,3.9,2.88,medium
N21155040L,Farai Sithole,BSc Computer Engineering,4,3.87,4.0,3.13,90.29,11.98,9.03,5.04,1.05,4.95,low
N20677086L,Michelle Sithole,BSc Business Computing,1,3.12,3.56,3.48,89.75,12.29,8.97,5.05,0.99,4.81,low
N22399279L,Nomvula Moyo,BSc Software Engineering,1,3.35,3.63,3.35,89.92,11.54,8.99,5.07,0.98,5.28,low
N21538184L,Michelle Sibanda,BSc Information Technology,3,2.15,2.15,2.76,64.69,4.82,6.47,2.1,3.85,2.76,medium
N22139286L,Thandeka Mushonga,BSc Computer Science,1,3.28,3.31,3.0,89.84,12.11,8.98,5.0,0.96,4.97,low
N24649787L,Munashe Ncube,BSc Business Computing,2,3.53,2.89,3.42,90.13,11.6,9.01,5.15,1.01,4.7,low
N23779776L,Admire Mhlanga,BSc Informatics,4,3.41,2.96,3.85,90.36,12.57,9.04,4.99,1.07,4.8,low
N21284019L,Miriam Dlodlo,BSc Information Technology,3,2.92,2.42,1.9,65.28,5.26,6.53,2.0,3.92,3.03,medium
N21247442L,Winny Matsvimbo,BSc Software Engineering,1,2.0,1.45,1.29,30.37,2.16,3.04,0.0,8.0,0.88,high
N22445637L,Clever Makaza,BSc Informatics,2,3.11,3.34,3.55,90.09,11.68,9.01,5.05,1.05,5.3,low
N20588002L,Clever Mhlanga,BSc Information Technology,2,2.21,2.81,2.09,65.05,4.56,6.51,2.06,4.0,2.96,medium
N22823821L,Shannon Mushonga,BSc Computer Engineering,4,3.65,3.73,3.57,90.35,12.17,9.03,4.94,1.08,5.18,low
N21577079L,David Nyathi,BSc Information Technology,1,3.9,2.98,2.89,90.25,11.97,9.02,5.03,0.94,5.01,low
N21898867L,Fungai Chimuti,BSc Computer Science,4,2.79,3.37,4.0,90.17,11.93,9.02,5.04,1.04,5.3,low
N24217659L,Kudakwashe Mushayasa,BSc Software Engineering,2,3.08,3.06,3.56,90.01,11.6,9.0,4.95,1.0,5.26,low
N24563303L,Farai Chikwanda,BSc Business Computing,1,3.98,3.58,3.9,89.61,12.53,8.96,5.04,1.01,5.28,low
N23238353L,Tatenda Sithole,BSc Business Computing,2,2.03,2.09,1.99,64.72,5.19,6.47,2.05,3.94,2.8,medium
N22858414L,Thandeka Dlodlo,BSc Data Science,3,3.29,3.71,2.94,90.18,11.47,9.02,5.13,0.97,4.95,low
N20544278L,Tinotenda Moyo,BSc Informatics,3,3.16,3.49,3.47,90.08,12.78,9.01,5.09,0.98,5.32,low
N20401036L,Chenai Mhlanga,BSc Information Systems,1,3.03,3.59,3.16,90.0,11.73,9.0,5.03,1.01,4.67,low
N23492650L,Patricia Matsiga,BSc Information Technology,5,3.89,3.15,2.98,90.09,12.85,9.01,4.97,0.89,5.02,low
N24239449L,Tinotenda Dube,BSc Information Systems,3,3.2,2.83,2.88,90.14,11.46,9.01,5.01,0.98,4.78,low
N21975373L,Tashinga Ndlovu,BSc Data Science,2,3.45,3.21,3.69,90.22,11.89,9.02,4.99,0.92,4.81,low
N23963355L,Newton Mpofu,BSc Business Computing,3,3.49,3.72,3.6,89.74,12.7,8.97,5.15,0.99,5.38,low
N20133782L,Chenai Chimuti,BSc Informatics,1,2.89,3.9,3.84,89.85,12.23,8.99,5.14,1.04,5.19,low
N23726822L,Nomvula Mpofu,BSc Informatics,1,2.53,2.74,2.31,64.63,5.03,6.46,1.98,4.07,3.09,medium
N20246942L,Tariro Mushonga,BSc Software Engineering,1,2.81,2.53,2.82,65.45,4.61,6.54,1.97,3.86,2.88,medium
N24910065L,Tafadzwa Mpofu,BSc Data Science,3,2.99,2.95,3.88,89.69,11.38,8.97,4.89,1.01,4.98,low
N23415098L,Rudo Sibanda,BSc Information Systems,5,3.74,3.22,3.97,89.82,12.4,8.98,5.01,0.96,4.84,low
N22774565L,Simbarashe Mutizwa,BSc Computer Engineering,2,2.97,3.45,3.39,90.12,11.95,9.01,5.07,1.05,5.27,low
N21891062L,Bright Gwekwerere,BSc Software Engineering,2,1.99,1.16,1.54,28.48,1.75,2.85,0.0,8.1,0.92,high
N23160423L,Grace Sithole,BSc Information Technology,2,3.59,3.67,3.12,89.73,11.57,8.97,5.11,0.98,4.84,low
N21446305L,Takudzwa Matsiga,BSc Computer Engineering,1,2.21,2.19,1.19,29.24,2.11,2.92,0.0,8.01,1.01,high
N22495489L,David Chimuti,BSc Informatics,3,3.93,3.81,3.17,89.77,11.64,8.98,4.96,1.01,5.1,low
N24327558L,Winny Chikwanda,BSc Computer Engineering,1,3.43,3.33,3.48,90.18,12.42,9.02,5.03,1.03,5.16,low
N21877493L,Farai Gwekwerere,BSc Software Engineering,4,3.19,2.95,3.34,89.5,11.95,8.95,4.83,0.94,4.8,low
N21678897L,Tafadzwa Mushonga,BSc Information Technology,3,3.52,3.9,3.17,89.88,11.98,8.99,4.96,1.09,5.02,low
N22637727L,Munashe Matsiga,BSc Computer Science,3,3.04,3.16,3.71,90.07,11.79,9.01,5.13,0.93,4.42,low
N22312994L,Tinotenda Matsvimbo,BSc Information Technology,3,3.6,3.73,3.8,89.97,11.86,9.0,5.06,1.04,5.0,low
N20373441L,Grace Makaza,BSc Information Technology,4,3.3,3.52,3.97,90.06,11.97,9.01,4.84,1.07,4.76,low
N24973844L,Newton Gwekwerere,BSc Computer Engineering,1,3.01,2.71,3.82,90.26,11.98,9.03,4.97,0.96,4.82,low
N23583214L,Michelle Nyathi,BSc Information Systems,4,3.48,2.85,3.73,89.79,12.5,8.98,4.81,1.0,5.18,low
N24772985L,Kudakwashe Mutizwa,BSc Informatics,2,3.55,3.56,3.96,89.69,11.71,8.97,4.99,1.07,4.82,low
N20901467L,Thandeka Sithole,BSc Information Systems,1,4.0,3.58,2.88,90.34,11.79,9.03,5.09,1.0,4.84,low
N20329344L,Tatenda Matsiga,BSc Computer Engineering,1,2.45,1.38,2.05,30.54,1.98,3.05,0.0,7.85,1.0,high
N23791309L,Winny Ndlovu,BSc Informatics,3,2.95,3.12,3.34,89.87,11.83,8.99,5.0,0.97,5.42,low
N22661762L,Clever Ndlovu,BSc Information Technology,2,3.88,3.83,3.18,90.19,12.1,9.02,4.78,0.96,4.85,low
N20649857L,Munyaradzi Mpofu,BSc Software Engineering,4,3.79,3.71,3.07,90.36,12.0,9.04,4.88,1.01,5.22,low
N23182857L,Gerald Dlodlo,BSc Business Computing,1,3.42,3.07,4.0,90.35,12.24,9.03,5.11,1.01,5.15,low
N20785491L,Kudakwashe Moyo,BSc Information Technology,5,3.14,3.66,3.76,90.21,11.72,9.02,5.06,1.0,5.36,low
N20836986L,Tatenda Moyo,BSc Business Computing,3,3.84,3.05,3.95,89.83,11.96,8.98,4.98,1.07,4.92,low
N20653815L,Kudakwashe Mpofu,BSc Software Engineering,3,2.66,2.14,2.53,64.88,4.85,6.49,1.96,3.94,2.89,medium
N22148823L,Tendai Ngwenya,BSc Informatics,3,3.82,3.63,3.14,89.79,12.59,8.98,5.0,0.96,5.21,low
N21715551L,Munyaradzi Dlodlo,BSc Computer Science,4,3.43,3.26,2.98,89.64,11.91,8.96,4.78,1.07,5.02,low
N23809922L,Grace Matsvimbo,BSc Information Technology,3,2.6,2.22,1.17,29.62,2.33,2.96,0.0,8.03,0.89,high
N20625119L,Tinotenda Sibanda,BSc Computer Science,1,2.96,3.89,3.77,89.91,11.69,8.99,5.02,1.01,5.12,low
N24724540L,Simbarashe Matsvimbo,BSc Informatics,4,3.7,3.32,3.6,89.98,11.44,9.0,5.03,1.12,5.33,low
N21473095L,Bright Dlodlo,BSc Information Technology,3,2.59,2.33,2.32,65.76,4.97,6.58,2.07,3.96,3.38,medium
N24409727L,Newton Moyo,BSc Computer Science,3,3.45,3.34,3.13,90.43,12.16,9.04,5.03,1.03,5.06,low
N21875584L,Patricia Matsvimbo,BSc Computer Engineering,2,3.27,3.54,4.0,90.34,12.76,9.03,5.14,1.07,4.91,low
N22898329L,Admire Dube,BSc Information Systems,1,2.11,2.23,1.44,30.72,2.07,3.07,0.0,7.95,1.06,high
N24527865L,Shannon Ndlovu,BSc Computer Science,2,2.24,1.62,1.3,29.97,2.09,3.0,0.0,8.19,0.97,high
N22503951L,Thandeka Mushonga,BSc Information Technology,1,3.09,2.95,3.45,89.92,12.34,8.99,4.91,1.02,4.86,low
N21699743L,Tatenda Mhlanga,BSc Information Technology,1,2.01,2.86,2.21,64.9,5.09,6.49,2.07,4.08,3.04,medium
N21166340L,Tatenda Sithole,BSc Data Science,1,3.41,3.95,3.29,89.67,12.28,8.97,4.97,1.03,4.82,low
N22358568L,Munashe Chimuti,BSc Software Engineering,2,2.78,3.83,3.02,89.78,11.67,8.98,4.82,0.96,5.04,low
N23448354L,David Dlodlo,BSc Computer Engineering,1,2.77,3.15,3.63,89.68,12.02,8.97,4.94,1.01,5.07,low
N24242736L,Nothando Matsvimbo,BSc Software Engineering,2,2.42,2.68,2.41,65.72,5.12,6.57,2.07,3.98,2.94,medium
N22405605L,Munashe Makaza,BSc Software Engineering,1,2.46,2.06,1.84,30.26,2.02,3.03,0.0,7.94,1.02,high
N22219420L,Precious Chikwanda,BSc Information Systems,1,3.89,3.67,3.37,89.71,11.88,8.97,4.92,0.91,4.88,low
N23842776L,Tariro Matsiga,BSc Data Science,3,4.0,2.66,3.96,89.71,11.89,8.97,4.95,1.01,5.02,low
N23805668L,Winny Ncube,BSc Data Science,1,3.77,3.22,4.0,90.13,12.21,9.01,5.03,1.02,4.9,low
N23177558L,Memory Chimuti,BSc Business Computing,3,2.97,3.26,3.4,89.89,12.22,8.99,5.12,0.96,4.48,low
N23670053L,Nomvula Nyathi,BSc Computer Science,2,3.49,2.92,3.55,89.47,11.43,8.95,5.14,1.08,5.11,low
N21778428L,Miriam Sibanda,BSc Information Technology,1,3.84,3.48,2.96,90.82,11.64,9.08,4.87,0.98,4.68,low
N20111060L,Shannon Ngwenya,BSc Software Engineering,2,2.57,2.6,2.29,64.73,4.94,6.47,2.04,4.01,2.81,medium
N24331768L,Memory Nyathi,BSc Information Technology,2,3.86,3.65,3.96,90.34,11.69,9.03,5.04,0.94,4.5,low
N21461724L,Thandeka Gwekwerere,BSc Computer Science,3,2.85,3.12,4.0,89.76,12.1,8.98,5.01,1.02,5.14,low
N21465249L,Clever Matsvimbo,BSc Business Computing,4,3.5,3.24,3.67,89.55,12.47,8.95,5.08,0.96,5.08,low
